  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2024-11-30 15:28:29 /api/presencas ....................................................................... ~ 0.16ms
  2024-11-30 15:31:50 /api/presencas ....................................................................... ~ 0.08ms
  2024-11-30 15:35:17 /api/presencas ....................................................................... ~ 0.08ms
  2024-11-30 15:35:53 /api/presencas ....................................................................... ~ 0.12ms
  2024-11-30 15:36:15 /api/presencas ....................................................................... ~ 0.10ms
  2024-11-30 15:36:23 /api/presencas ....................................................................... ~ 0.12ms
  2024-11-30 15:39:23 /api/presencas ..................................................................... ~ 510.75ms
  2024-11-30 15:40:31 /api/presencas ....................................................................... ~ 0.09ms
  2024-11-30 15:40:38 /api/presencas ....................................................................... ~ 0.09ms
  2024-11-30 15:41:34 /api/presencas ....................................................................... ~ 0.10ms
  2024-11-30 15:41:51 /api/presencas ..................................................................... ~ 508.06ms
  2024-11-30 15:45:27 /api/presencas ....................................................................... ~ 0.08ms
  2024-11-30 15:48:32 /api/presencas ....................................................................... ~ 0.09ms
  2024-11-30 15:48:54 /api/presencas ....................................................................... ~ 0.08ms
  2024-11-30 15:49:21 /api/presencas ....................................................................... ~ 0.10ms
  2024-11-30 15:51:32 /api/presencas ....................................................................... ~ 0.09ms
  2024-11-30 15:53:09 /api/presencas ....................................................................... ~ 0.12ms
  2024-11-30 15:53:41 /api/presencas ....................................................................... ~ 0.09ms
  2024-11-30 15:58:33 /api/inscricao-evento/inscricoes-user .............................................. ~ 502.02ms
  2024-11-30 15:59:05 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.08ms
  2024-11-30 16:00:18 /api/inscricao-evento/inscricoes-user .............................................. ~ 505.89ms
  2024-11-30 16:00:20 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.09ms
  2024-11-30 16:00:20 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.10ms
  2024-11-30 16:00:20 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.03ms
  2024-11-30 16:00:20 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.02ms
  2024-11-30 16:00:20 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.08ms
  2024-11-30 16:00:21 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.03ms
