  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server

  2024-11-30 20:43:03 /api/1 ............................................................................... ~ 0.12ms
  2024-11-30 20:44:37 /api/1 ............................................................................... ~ 0.10ms
  2024-11-30 20:45:02 /api/1 ............................................................................... ~ 0.15ms
  2024-11-30 20:47:26 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 21:54:51 /api/1 ............................................................................. ~ 503.17ms
  2024-11-30 21:55:22 /api/1 ............................................................................. ~ 515.19ms
  2024-11-30 21:56:15 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 21:56:46 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 21:57:34 /api/1 ............................................................................... ~ 0.10ms
  2024-11-30 21:58:23 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 21:59:57 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:01:31 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:02:09 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:02:57 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:03:51 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:04:44 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:08:04 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:08:08 /api/1 ............................................................................... ~ 0.07ms
  2024-11-30 22:10:02 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:10:17 /api/1 ............................................................................... ~ 0.11ms
  2024-11-30 22:11:13 /api/1 ............................................................................. ~ 506.19ms
  2024-11-30 22:12:36 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:16:11 /api/1 ............................................................................... ~ 0.10ms
  2024-11-30 22:17:41 /api/1 ............................................................................. ~ 515.37ms
  2024-11-30 22:18:47 /api/1 ............................................................................. ~ 505.03ms
  2024-11-30 22:19:19 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:19:45 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:19:59 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:21:17 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:21:37 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:22:08 /api/1 ............................................................................... ~ 0.16ms
  2024-11-30 22:22:45 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:23:42 /api/1 ............................................................................. ~ 502.71ms
  2024-11-30 22:25:01 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:26:22 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:26:37 /api/1 ............................................................................... ~ 0.07ms
  2024-11-30 22:27:47 /api/1 ............................................................................... ~ 0.10ms
  2024-11-30 22:27:57 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:30:06 /api/1 ............................................................................. ~ 506.82ms
  2024-11-30 22:31:07 /api/1 ............................................................................... ~ 0.12ms
  2024-11-30 22:31:21 /api/1 ............................................................................... ~ 0.07ms
  2024-11-30 22:31:32 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:32:52 /api/1 ............................................................................... ~ 0.09ms
  2024-11-30 22:32:55 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:33:36 /api/1 ............................................................................... ~ 0.11ms
  2024-11-30 22:36:14 /api/1 ............................................................................. ~ 505.35ms
  2024-11-30 22:36:51 /api/1 ............................................................................... ~ 0.08ms
  2024-11-30 22:37:33 /api/1 ............................................................................... ~ 0.11ms
  2024-11-30 22:37:51 /api/1 ............................................................................... ~ 0.09ms
