  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8003].  

  Press Ctrl+C to stop the server

  2024-11-30 20:33:17 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 20:33:18 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 20:33:51 /gerar-certificado/4 ................................................................. ~ 0.10ms
  2024-11-30 20:33:51 /favicon.ico ......................................................................... ~ 0.05ms
  2024-11-30 20:34:26 /gerar-certificado/4 ............................................................... ~ 511.18ms
  2024-11-30 20:34:26 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 20:36:18 /gerar-certificado/4 ............................................................... ~ 502.25ms
  2024-11-30 20:36:18 /favicon.ico ......................................................................... ~ 0.05ms
  2024-11-30 20:36:20 /favicon.ico ......................................................................... ~ 0.13ms
  2024-11-30 20:36:20 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 20:36:22 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 20:38:54 /gerar-certificado/4 ............................................................... ~ 503.83ms
  2024-11-30 20:38:55 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 20:39:19 /gerar-certificado/4 ............................................................... ~ 505.98ms
  2024-11-30 20:39:20 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 20:43:03 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 20:43:03 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 20:44:37 /gerar-certificado/4 ................................................................. ~ 0.11ms
  2024-11-30 20:44:37 /favicon.ico ......................................................................... ~ 0.80ms
  2024-11-30 20:45:02 /gerar-certificado/4 ............................................................... ~ 504.00ms
  2024-11-30 20:45:02 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 20:47:26 /gerar-certificado/4 ............................................................... ~ 503.43ms
  2024-11-30 20:47:26 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 21:54:51 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 21:54:52 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 21:55:21 /gerar-certificado/4 ..................................................................... ~ 2s
  2024-11-30 21:55:23 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 21:56:15 /gerar-certificado/4 ............................................................... ~ 514.35ms
  2024-11-30 21:56:15 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 21:56:46 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 21:56:47 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 21:57:33 /gerar-certificado/4 ............................................................... ~ 507.74ms
  2024-11-30 21:57:34 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 21:58:23 /gerar-certificado/4 ............................................................... ~ 504.13ms
  2024-11-30 21:58:23 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 21:59:57 /gerar-certificado/4 ............................................................... ~ 503.60ms
  2024-11-30 21:59:57 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:01:31 /gerar-certificado/4 ................................................................. ~ 0.10ms
  2024-11-30 22:01:31 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:02:09 /gerar-certificado/4 ............................................................... ~ 509.07ms
  2024-11-30 22:02:09 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:02:57 /gerar-certificado/4 ............................................................... ~ 515.14ms
  2024-11-30 22:02:57 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:03:51 /gerar-certificado/4 ............................................................... ~ 504.21ms
  2024-11-30 22:03:52 /favicon.ico ......................................................................... ~ 0.06ms
  2024-11-30 22:04:44 /gerar-certificado/4 ............................................................... ~ 503.36ms
  2024-11-30 22:04:44 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:08:04 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 22:08:05 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:08:08 /gerar-certificado/4 ................................................................. ~ 0.11ms
  2024-11-30 22:08:09 /favicon.ico ......................................................................... ~ 0.06ms
  2024-11-30 22:10:02 /gerar-certificado/4 ............................................................... ~ 505.90ms
  2024-11-30 22:10:02 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:10:16 /gerar-certificado/4 ............................................................... ~ 504.29ms
  2024-11-30 22:10:17 /favicon.ico ......................................................................... ~ 0.05ms
  2024-11-30 22:11:13 /gerar-certificado/4 ............................................................... ~ 508.17ms
  2024-11-30 22:11:13 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:12:36 /gerar-certificado/4 ............................................................... ~ 506.12ms
  2024-11-30 22:12:36 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:16:10 /gerar-certificado/4 ............................................................... ~ 506.33ms
  2024-11-30 22:16:11 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:17:40 /gerar-certificado/4 ............................................................... ~ 515.37ms
  2024-11-30 22:17:41 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:18:46 /gerar-certificado/4 ............................................................... ~ 505.26ms
  2024-11-30 22:18:47 /favicon.ico ......................................................................... ~ 0.05ms
  2024-11-30 22:19:19 /gerar-certificado/4 ............................................................... ~ 500.68ms
  2024-11-30 22:19:19 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:19:45 /gerar-certificado/4 ............................................................... ~ 507.88ms
  2024-11-30 22:19:45 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:19:58 /gerar-certificado/4 ............................................................... ~ 504.45ms
  2024-11-30 22:19:59 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:21:17 /gerar-certificado/4 ..................................................................... ~ 1s
  2024-11-30 22:21:17 /favicon.ico ............................................................................. ~ 1s
  2024-11-30 22:21:37 /gerar-certificado/4 ............................................................... ~ 502.06ms
  2024-11-30 22:21:38 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:22:08 /gerar-certificado/4 ............................................................... ~ 502.47ms
  2024-11-30 22:22:08 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:22:45 /gerar-certificado/4 ............................................................... ~ 501.66ms
  2024-11-30 22:22:45 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:23:42 /gerar-certificado/4 ............................................................... ~ 502.71ms
  2024-11-30 22:23:43 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:25:00 /gerar-certificado/4 ............................................................... ~ 505.10ms
  2024-11-30 22:25:01 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:26:22 /gerar-certificado/4 ............................................................... ~ 507.30ms
  2024-11-30 22:26:22 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:26:37 /gerar-certificado/4 ............................................................... ~ 500.07ms
  2024-11-30 22:26:37 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:27:47 /gerar-certificado/4 ............................................................... ~ 504.46ms
  2024-11-30 22:27:47 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:27:57 /gerar-certificado/4 ............................................................... ~ 508.05ms
  2024-11-30 22:27:57 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:30:06 /gerar-certificado/4 ............................................................... ~ 506.81ms
  2024-11-30 22:30:06 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:31:07 /gerar-certificado/4 ..................................................................... ~ 2s
  2024-11-30 22:31:10 /gerar-certificado/4 .................................................................... ~ 12s
  2024-11-30 22:31:22 /gerar-certificado/4 .................................................................... ~ 10s
  2024-11-30 22:31:32 /favicon.ico ............................................................................ ~ 31s
  2024-11-30 22:32:04 /gerar-certificado/4 .................................................................... ~ 48s
  2024-11-30 22:32:52 /favicon.ico ............................................................................. ~ 1s
  2024-11-30 22:32:55 /gerar-certificado/5 ............................................................... ~ 510.12ms
  2024-11-30 22:32:55 /favicon.ico ............................................................................. ~ 2s
  2024-11-30 22:33:35 /gerar-certificado/5 ............................................................... ~ 503.85ms
  2024-11-30 22:33:36 /favicon.ico ......................................................................... ~ 0.03ms
  2024-11-30 22:36:13 /gerar-certificado/5 ............................................................... ~ 505.36ms
  2024-11-30 22:36:14 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:36:51 /gerar-certificado/5 ............................................................... ~ 502.68ms
  2024-11-30 22:36:51 /favicon.ico ......................................................................... ~ 0.04ms
  2024-11-30 22:37:33 /gerar-certificado/5 ................................................................. ~ 0.11ms
  2024-11-30 22:37:34 /favicon.ico ......................................................................... ~ 0.07ms
  2024-11-30 22:37:50 /gerar-certificado/5 ............................................................... ~ 508.70ms
  2024-11-30 22:37:51 /favicon.ico ......................................................................... ~ 0.03ms
