  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8004].  

  Press Ctrl+C to stop the server

  2024-11-30 20:33:18 /api/4 ............................................................................. ~ 503.82ms
  2024-11-30 20:33:51 /api/4 ............................................................................... ~ 0.11ms
  2024-11-30 20:34:26 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 20:36:18 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 20:36:21 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 20:38:55 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 20:39:19 /api/4 ............................................................................. ~ 506.43ms
  2024-11-30 20:43:03 /api/4 ............................................................................. ~ 506.04ms
  2024-11-30 20:44:37 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 20:45:02 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 20:47:26 /api/4 ............................................................................... ~ 0.11ms
  2024-11-30 21:54:51 /api/4 ............................................................................... ~ 0.14ms
  2024-11-30 21:55:22 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 21:56:15 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 21:56:46 /api/4 ............................................................................. ~ 502.90ms
  2024-11-30 21:57:33 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 21:58:23 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 21:59:57 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:01:31 /api/4 ............................................................................. ~ 507.20ms
  2024-11-30 22:02:09 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:02:57 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:03:51 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:04:44 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:08:04 /api/4 ............................................................................. ~ 506.60ms
  2024-11-30 22:08:08 /api/4 ............................................................................. ~ 509.03ms
  2024-11-30 22:10:02 /api/4 ............................................................................... ~ 0.11ms
  2024-11-30 22:10:16 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:11:13 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:12:36 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:16:10 /api/4 ............................................................................. ~ 504.34ms
  2024-11-30 22:17:40 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:18:47 /api/4 ............................................................................... ~ 0.18ms
  2024-11-30 22:19:19 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:19:45 /api/4 ............................................................................. ~ 507.88ms
  2024-11-30 22:19:58 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:21:17 /api/4 ............................................................................... ~ 0.11ms
  2024-11-30 22:21:37 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:22:08 /api/4 ............................................................................. ~ 502.60ms
  2024-11-30 22:22:45 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:23:42 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:25:00 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:26:22 /api/4 ............................................................................. ~ 507.26ms
  2024-11-30 22:26:37 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:27:47 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:27:57 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:30:06 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:31:07 /api/4 ............................................................................... ~ 0.12ms
  2024-11-30 22:31:21 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:31:32 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:32:52 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:32:55 /api/5 ............................................................................... ~ 0.08ms
  2024-11-30 22:33:35 /api/5 ............................................................................. ~ 503.82ms
  2024-11-30 22:36:14 /api/5 ............................................................................... ~ 0.14ms
  2024-11-30 22:36:51 /api/5 ............................................................................... ~ 0.08ms
  2024-11-30 22:37:33 /api/5 ............................................................................... ~ 0.11ms
  2024-11-30 22:37:50 /api/5 ............................................................................... ~ 0.09ms
  2024-11-30 22:38:33 /api/5 ............................................................................... ~ 0.09ms
  2024-11-30 22:38:58 /api/5 ............................................................................... ~ 0.08ms
  2024-11-30 22:39:56 /api/5 ............................................................................. ~ 503.13ms
  2024-11-30 22:40:30 /api/5 ............................................................................... ~ 0.10ms
  2024-11-30 22:40:46 /api/5 ............................................................................... ~ 0.09ms
  2024-11-30 22:41:11 /api/5 ............................................................................... ~ 0.08ms
  2024-11-30 22:41:19 /api/6 ............................................................................... ~ 0.09ms
  2024-11-30 22:41:23 /api/5 ............................................................................... ~ 0.09ms
  2024-11-30 22:43:33 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:45:04 /api/4 ............................................................................... ~ 0.09ms
  2024-11-30 22:45:50 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:48:07 /api/4 ............................................................................... ~ 0.22ms
  2024-11-30 22:48:58 /api/4 ............................................................................. ~ 506.45ms
  2024-11-30 22:49:31 /api/4 ............................................................................... ~ 0.08ms
  2024-11-30 22:50:25 /api/4 ............................................................................... ~ 0.10ms
  2024-11-30 22:50:26 /api/inscricoes-user ................................................................. ~ 0.10ms
  2024-11-30 22:50:35 /api/5 ............................................................................... ~ 0.09ms
  2024-11-30 22:50:35 /api/inscricoes-user ............................................................... ~ 502.07ms
  2024-11-30 22:53:07 /api/4 ............................................................................. ~ 508.02ms
  2024-11-30 22:53:08 /api/5 ............................................................................... ~ 0.10ms
  2024-11-30 22:55:21 /api/inscricoes-user ................................................................. ~ 0.08ms
  2024-11-30 23:00:09 /api/inscricoes-user ................................................................. ~ 0.10ms
